No,Category,Guideline,Description,Do,Don't,Code Good,Code Bad,Severity,Docs URL
11,State & Stores,Use derived stores for computed global state,derived() creates a read-only store computed from other stores — avoids duplicating derivation logic,Use derived() for computed global values,Subscribe to multiple stores and compute in each component,const total = derived(cart n => n.reduce((s i) => s + i.price 0)),// repeating reduce logic in every component,High,https://svelte.dev/docs/svelte/svelte-store#derived
12,State & Stores,Unsubscribe from stores to prevent leaks,Manual store.subscribe() calls must be unsubscribed in onDestroy — or use the $ auto-subscription shorthand,Use $store syntax in templates for auto-subscribe/unsubscribe,Manually subscribe without cleanup,$count // auto-unsubscribes,const unsub = count.subscribe(v => {}); // must call unsub() in onDestroy,Critical,https://svelte.dev/docs/svelte/svelte-store#auto-subscription
13,SvelteKit Routing,Use file-based routing conventions,SvelteKit derives routes from the src/routes/ directory — +page.svelte and +layout.svelte are the conventions,Follow +page.svelte / +layout.svelte / +error.svelte naming,Create custom router logic or dynamic component switching,src/routes/blog/[slug]/+page.svelte,src/routes/BlogPage.svelte // not picked up by router,Critical,https://kit.svelte.dev/docs/routing
14,SvelteKit Routing,Use +layout.svelte for shared UI,Shared navigation and shell UI belongs in +layout.svelte — child routes inherit it automatically,Wrap shared chrome in +layout.svelte,Repeat <Nav> and <Footer> in every +page.svelte,// +layout.svelte wraps all children via <slot />,// duplicating <Nav /> in every page,High,https://kit.svelte.dev/docs/routing#layout
15,SvelteKit Routing,Use route groups for layout variants,Wrap routes in (group)/ directories to share a layout without affecting the URL path,Use (auth)/ and (public)/ route groups for layout variants,Create duplicate layout files or use conditional rendering,src/routes/(auth)/dashboard/+page.svelte,src/routes/dashboard/+page.svelte // extra layout logic,Medium,https://kit.svelte.dev/docs/advanced-routing#advanced-layouts
16,Data Loading,Load data in +page.server.ts load functions,Server-side load functions run on the server — safe for DB queries and secret env vars,Fetch data in load() inside +page.server.ts,Call fetch with secret keys from client-side onMount,export const load = async () => ({ posts: await db.getPosts() }),onMount(() => fetch('/api/posts?key=SECRET')) // exposes key,Critical,https://kit.svelte.dev/docs/load
17,Data Loading,Return typed data from load with satisfies,Use satisfies PageServerLoad to get inferred page data types without losing specificity,Type load return with satisfies or PageServerLoad generic,Return untyped objects from load and cast in the component,export const load = (async () => ({ user })) satisfies PageServerLoad,export function load() { return { user } } // no types,High,https://kit.svelte.dev/docs/load#input-and-output
18,Data Loading,Use form actions for mutations,+page.server.ts actions handle form submissions server-side — progressive enhancement works without JS,Use actions for form mutations (create/update/delete),Use API routes for every form submission,export const actions = { create: async ({ request }) => { ... } },fetch('/api/create' { method: 'POST' body }) // skips SvelteKit actions,High,https://kit.svelte.dev/docs/form-actions
19,Performance,Preload routes on hover with data-sveltekit-preload-data,SvelteKit can prefetch a route's load data on hover — near-instant navigation for users,Add data-sveltekit-preload-data="hover" to <a> or layout,Skip preloading and let users wait for data on click,<a href="/blog" data-sveltekit-preload-data="hover">,"<a href=""/blog""> // no preloading",Medium,https://kit.svelte.dev/docs/link-options#data-sveltekit-preload-data
20,Performance,Lazy-load heavy components with dynamic import,import() splits heavy components into separate JS chunks — reduces initial page weight,Use dynamic imports for modals and below-the-fold components,Import all components statically at the top of the script,const Map = (await import('$lib/Map.svelte')).default,import Map from '$lib/Map.svelte' // always bundled,High,https://kit.svelte.dev/docs/performance
21,Performance,Optimise images with @sveltejs/enhanced-img,Enhanced-img generates modern formats (avif/webp) and correct srcset at build time — no manual work,Use <enhanced:img> for all content images,Use raw <img> with unoptimised large files,<enhanced:img src={heroImg} alt="Hero" />,<img src="/hero.png" /> // unoptimised,Medium,https://kit.svelte.dev/docs/images
22,Transitions & Animations,Use transition: directive for enter/leave,Svelte's built-in transition directive applies enter/leave animations declaratively — no imperative JS needed,Use transition:fade or transition:slide on conditional elements,Use CSS classes toggled with JS for show/hide animations,<div transition:fade>{#if show}content{/if}</div>,show ? 'show' : 'hide' // manual CSS toggling,Medium,https://svelte.dev/docs/svelte/transition
23,Transitions & Animations,Use animate: for keyed list reordering,animate:flip handles list item reorder animations automatically when using keyed each blocks,Add animate:flip to elements in keyed {#each} blocks,Animate list reorders with manual GSAP/JS position tracking,<li animate:flip>{item.name}</li>,// manually calculating element positions for animation,Low,https://svelte.dev/docs/svelte/animate
24,Accessibility,Use semantic HTML elements always,Semantic elements convey meaning to assistive technologies — do not replace them with div/span clones,Use <button> <nav> <main> <article> <header> etc,Use <div> with on:click or role="button" for interactive elements,<button on:click={submit}>Submit</button>,<div on:click={submit}>Submit</div> // not keyboard accessible,Critical,https://svelte.dev/docs/svelte/accessibility-warnings
25,Accessibility,Bind ARIA state to reactive variables,ARIA attributes reflecting component state must update reactively — static aria values mislead screen readers,Use aria-expanded={isOpen} and aria-disabled={disabled},Hardcode aria attribute values,<button aria-expanded={isOpen} aria-controls="menu">,<button aria-expanded="false"> // never updates,High,https://svelte.dev/docs/svelte/accessibility-warnings#a11y-interactive-supports-focus
