No,Category,Guideline,Description,Do,Don't,Code Good,Code Bad,Severity,Docs URL
11,Routing,Use generateStaticParams for dynamic static routes,Pre-render known dynamic segments at build time for maximum performance,generateStaticParams to statically generate [slug] pages,Skip generateStaticParams and always render dynamic pages on request,export async function generateStaticParams() { return posts.map(p => ({ slug: p.slug })) },Dynamic page with no generateStaticParams that could be static,Medium,https://nextjs.org/docs/app/api-reference/functions/generate-static-params
12,Routing,Use notFound() and redirect() from next/navigation,Declarative server-side redirects and 404s are cleaner than throwing errors,notFound() when a resource is missing; redirect() for auth guards,Return empty UI or throw generic errors for missing resources,if (!user) notFound();,if (!user) return <p>Not found</p>,Medium,https://nextjs.org/docs/app/api-reference/functions/not-found
13,Performance,Use next/image for all images,The Image component auto-resizes lazy-loads and serves modern formats like WebP,next/image for every raster image with width and height set,<img> tags for local or remote images in Next.js apps,"<Image src={hero} alt=""Hero"" width={1200} height={600} priority />",<img src="/hero.jpg" />,High,https://nextjs.org/docs/app/api-reference/components/image
14,Performance,Optimize fonts with next/font,next/font self-hosts fonts at build time eliminating layout shift and extra round trips,next/font/google for Google Fonts and next/font/local for custom fonts,@import Google Fonts in CSS or link tag in head,const inter = Inter({ subsets: ['latin'] }),<link href="https://fonts.googleapis.com/..." rel="stylesheet" />,High,https://nextjs.org/docs/app/building-your-application/optimizing/fonts
15,Performance,Dynamic import for heavy Client Components,Dynamically importing large client-side bundles keeps the initial JS payload small,dynamic(() => import('./HeavyEditor') { ssr: false }) for browser-only heavy UI,Import chart and editor libraries statically in the Client Component root,const Editor = dynamic(() => import('./Editor') { ssr: false }),import Editor from './Editor' at the top of a route file,High,https://nextjs.org/docs/app/building-your-application/optimizing/lazy-loading
16,Performance,Set metadata for every page,Static metadata improves SEO and is free for Server Components,Export a metadata object or generateMetadata in every page.tsx,Leave metadata undefined or set it only on the root layout,export const metadata = { title: 'Dashboard' description: 'User dashboard' },No metadata export in page.tsx,Medium,https://nextjs.org/docs/app/building-your-application/optimizing/metadata
17,Server Actions,Use Server Actions for mutations,Server Actions run on the server and can be called directly from forms or clients,Server Actions for form submissions and data mutations,API routes for simple mutations that don't need streaming,async function createPost(formData: FormData) { 'use server'; await db.create(...) },"fetch('/api/posts' { method: 'POST' body: formData })",High,https://nextjs.org/docs/app/building-your-application/data-fetching/server-actions-and-mutations
18,Server Actions,Validate inputs inside Server Actions,Server Actions are HTTP endpoints; never trust input from the client,Zod-validate all Server Action arguments before writing to the database,Trust FormData or arguments passed to a Server Action,const parsed = schema.safeParse(Object.fromEntries(formData));,await db.insert({ title: formData.get('title') }) without validation,Critical,https://nextjs.org/docs/app/building-your-application/data-fetching/server-actions-and-mutations#security
19,Server Actions,Revalidate after mutations,After a mutation call revalidatePath or revalidateTag to keep pages fresh,revalidatePath or revalidateTag at the end of every mutating Server Action,Forget to revalidate and leave users seeing stale data,revalidatePath('/dashboard'); redirect('/dashboard');,return { success: true } without revalidating any cached data,High,https://nextjs.org/docs/app/api-reference/functions/revalidatePath
20,Server Actions,Add optimistic updates for perceived speed,Update the UI immediately and reconcile with the server response for fast UX,useOptimistic for list items that are created or toggled,Wait for the server round-trip before showing any UI change,const [optimisticPosts addOptimistic] = useOptimistic(posts),await createPost(data); // UI freezes until server responds,Medium,https://nextjs.org/docs/app/building-your-application/data-fetching/server-actions-and-mutations#optimistic-updates
21,Caching,Understand the four caching layers,Next.js caches at request memoization Data Cache Full Route Cache and Router Cache levels,Read the caching docs; opt out selectively with noStore() or dynamic = 'force-dynamic',Default to no-store everywhere out of fear of stale data,import { unstable_noStore as noStore } from 'next/cache'; noStore();,export const dynamic = 'force-dynamic' on every page,High,https://nextjs.org/docs/app/building-your-application/caching
22,Caching,Tag fetches for granular revalidation,Tagging allows surgical cache invalidation without revalidating unrelated data,fetch(url { next: { tags: ['posts'] } }) and revalidateTag('posts') after mutation,Use time-based revalidation when event-based is more accurate,fetch(url { next: { tags: ['user-123'] } }),revalidatePath('/') after every mutation,Medium,https://nextjs.org/docs/app/building-your-application/caching#on-demand-revalidation
23,Caching,Use unstable_cache for non-fetch data,Cache database queries ORM calls and any async work that isn't a fetch,unstable_cache wrapping db queries with tags and revalidation period,Re-query the database on every request for data that rarely changes,"const getUser = unstable_cache(async (id) => db.find(id) ['user'] { revalidate: 60 })",async function getUser(id) { return db.find(id) } called on every render,Medium,https://nextjs.org/docs/app/api-reference/functions/unstable_cache
24,Caching,Mark pages dynamic only when truly needed,Dynamic rendering disables all page-level caching; use it only for user-specific data,Keep pages static or ISR; use dynamic = 'force-dynamic' only when cookies or headers are required,Add export const dynamic = 'force-dynamic' as a default to all pages,export const revalidate = 3600; // ISR for mostly-static content,export const dynamic = 'force-dynamic' on a marketing page,High,https://nextjs.org/docs/app/api-reference/file-conventions/route-segment-config#dynamic
25,Deployment,Use environment variables correctly,Public vars must have NEXT_PUBLIC_ prefix; secret vars must never go to the client,NEXT_PUBLIC_ only for values safe to expose; keep secrets server-only,Expose API keys in NEXT_PUBLIC_ variables,NEXT_PUBLIC_SITE_URL for client use; DATABASE_URL server-only,NEXT_PUBLIC_DATABASE_URL='postgres://...',Critical,https://nextjs.org/docs/app/building-your-application/configuring/environment-variables
26,Deployment,Use Edge Runtime for latency-sensitive routes,Edge Runtime runs at CDN nodes with sub-10ms cold starts; ideal for auth and redirects,Edge Runtime for middleware and simple API routes close to users,Run heavy Node.js-only code on the Edge Runtime,export const runtime = 'edge'; // in a lightweight API route,export const runtime = 'edge' in a route that requires fs or native modules,Medium,https://nextjs.org/docs/app/building-your-application/rendering/edge-and-nodejs-runtimes
27,Deployment,Stream long responses with Suspense,Streaming sends HTML progressively so users see content before all data is ready,Wrap slow data-fetching components in <Suspense> to stream them independently,Await all data before sending any HTML to the browser,<Suspense fallback={<Skeleton />}><SlowFeed /></Suspense>,await all data at the top of the page before returning any JSX,High,https://nextjs.org/docs/app/building-your-application/routing/loading-ui-and-streaming#streaming-with-suspense
28,SEO,Use generateMetadata for dynamic pages,Server-side metadata generation ensures crawlers see correct titles and OG tags,Export generateMetadata as an async function when metadata depends on route params,Set a single static title in the root layout for all pages,async function generateMetadata({ params }) { return { title: post.title } },export const metadata = { title: 'My App' } as the only metadata,High,https://nextjs.org/docs/app/api-reference/functions/generate-metadata
29,SEO,Generate sitemap.xml dynamically,A machine-generated sitemap stays up to date and improves crawl coverage,app/sitemap.ts that returns all public URLs,Manually maintain a static sitemap.xml or skip it entirely,export default async function sitemap() { return posts.map(p => ({ url: p.url })) },No sitemap.ts or a static sitemap that misses new pages,Medium,https://nextjs.org/docs/app/api-reference/file-conventions/metadata/sitemap
30,SEO,Add robots.ts for crawl control,A programmatic robots file lets you block staging environments and private routes,app/robots.ts that checks the environment and disallows private paths,No robots.txt letting crawlers index staging or admin routes,export default function robots() { return { rules: { userAgent: '*' allow: '/' } } },No robots.ts; staging site indexed by Google,Medium,https://nextjs.org/docs/app/api-reference/file-conventions/metadata/robots
31,SEO,Add opengraph-image for social sharing,Next.js can generate OG images at build or request time via the Image Response API,app/opengraph-image.tsx using ImageResponse for dynamic per-page OG images,Use a single static OG image for all pages including dynamic content,export default function OGImage({ params }) { return new ImageResponse(...) },<meta property="og:image" content="/og.png" /> same image for all pages,Low,https://nextjs.org/docs/app/api-reference/file-conventions/metadata/opengraph-image
