No,Category,Guideline,Description,Do,Don't,Code Good,Code Bad,Severity,Docs URL
12,Layout,ConstrainedBox for min/max bounds,Use ConstrainedBox or BoxConstraints to express responsive min/max sizes rather than hard-coding platform-specific pixel values.,Apply BoxConstraints.tightFor or ConstrainedBox for cards and dialogs that should adapt to content but stay within readable bounds.,Hard-code MediaQuery pixel math for every breakpoint — use constraints + LayoutBuilder instead.,"ConstrainedBox(constraints: BoxConstraints(maxWidth: 600), child: Card(...))","SizedBox(width: 600, child: Card(...))",Medium,https://api.flutter.dev/flutter/widgets/ConstrainedBox-class.html
13,Layout,Stack with Positioned for overlays,"Use Stack and Positioned/Align for badges, overlays and tooltips rather than fighting Row/Column. Clearly name anchor alignment.",Use Align or Positioned with named anchors (topRight and bottomLeft) for overlay elements.,Use Stack for sequential vertical or horizontal layouts — that is what Column/Row are for.,"Stack(children: [Image(...), Positioned(right: 8, top: 8, child: Badge(...))])","Column(children: [Image(...), Badge(...)]) // wrong axis",Medium,https://api.flutter.dev/flutter/widgets/Stack-class.html
14,Layout,LayoutBuilder for responsive widgets,Use LayoutBuilder to read parent constraints at build time and switch layouts between compact and expanded breakpoints.,Use LayoutBuilder instead of MediaQuery.of(context).size inside widget build methods to stay constraint-aware.,Query screen size directly in deeply nested widgets — they get stale constraints.,"LayoutBuilder(builder: (ctx, c) => c.maxWidth > 600 ? WideView() : NarrowView())",MediaQuery.of(context).size.width > 600 ? WideView() : NarrowView(),Medium,https://api.flutter.dev/flutter/widgets/LayoutBuilder-class.html
15,Performance,const widget short-circuit,Mark widget subtrees const so Flutter skips diffing them entirely on parent rebuilds. This is the single highest-ROI Flutter performance technique.,Audit leaf widgets with the Flutter DevTools Rebuild Stats tool and add const wherever state is not needed.,Assume const has no effect on performance — it directly reduces ElementTree reconciliation work.,"const Padding(padding: EdgeInsets.all(8), child: Icon(Icons.star))","Padding(padding: EdgeInsets.all(8), child: Icon(Icons.star))",High,https://docs.flutter.dev/perf/best-practices
16,Performance,RepaintBoundary for animated subtrees,Wrap complex animated sub-trees in RepaintBoundary to isolate their GPU layer so only that layer repaints on each animation frame.,"Apply RepaintBoundary to heavy animated widgets (charts, carousels and particle effects) to keep parent layer clean.",Wrap every single widget in RepaintBoundary — too many layers waste GPU memory.,RepaintBoundary(child: AnimatedChart(...)),// AnimatedChart rebuilt on every parent setState,High,https://api.flutter.dev/flutter/widgets/RepaintBoundary-class.html
17,Performance,ListView.builder for long lists,Use ListView.builder or ListView.separated for lists longer than ~20 items so only visible items are built and laid out.,Supply itemCount and an itemBuilder callback; use ListView.separated for dividers.,Use ListView(children: [...]) with hundreds of widgets — all are instantiated at once.,"ListView.builder(itemCount: items.length, itemBuilder: (_, i) => ItemTile(items[i]))",ListView(children: items.map((e) => ItemTile(e)).toList()),Critical,https://api.flutter.dev/flutter/widgets/ListView-class.html
18,Performance,Avoid heavy work in didUpdateWidget,Heavy computation inside didUpdateWidget or initState that triggers setState creates jank. Move computation to an async isolate or FutureBuilder.,Cache computed values and only recompute when dependent inputs change using a selector or memoised getter.,Call setState inside initState synchronously after async work without using mounted check.,if (widget.id != oldWidget.id) _loadData(widget.id);,setState(() { _data = heavySync(widget.input); }),High,https://docs.flutter.dev/perf/best-practices#control-build-cost
19,Navigation,GoRouter for declarative routing,"Use go_router for URL-based navigation that supports deep linking, web URLs and nested routes with typed parameters.",Define routes in a GoRouter configuration at app root; use context.go() or context.push().,Maintain a manual Navigator stack with pushNamed for apps that need deep link support.,"GoRouter(routes: [GoRoute(path: '/product/:id', builder: (_, s) => ProductPage(s.pathParameters['id']!))])","Navigator.pushNamed(context, '/product/123')",High,https://pub.dev/packages/go_router
20,Navigation,Pass only IDs between routes,Pass identifiers to route builders and let the destination screen fetch/derive its data from state management. Avoids stale data and large serialised arguments.,Pass item.id through route path parameters; destination reads from provider/repository.,Pass full model objects through Navigator.arguments — breaks with deep links and URL routing.,context.go('/product/${item.id}'),"Navigator.push(context, MaterialPageRoute(builder: (_) => ProductPage(item: item)))",Medium,https://docs.flutter.dev/ui/navigation
21,Navigation,Handle pop results cleanly,Use GoRouter redirect and pop with a result to handle flows like auth gates or confirmation dialogs without coupling screens.,Use context.pop(result) and router-level redirect logic for auth guards.,Use WillPopScope deprecated API for back navigation handling in new Flutter versions.,context.pop(ConfirmResult.confirmed),WillPopScope(onWillPop: () async { ... }),Medium,https://pub.dev/documentation/go_router/latest/
22,Themes,Use ThemeData with ColorScheme,Define a single ThemeData with a ColorScheme.fromSeed or ColorScheme.fromImageProvider and propagate via MaterialApp.theme. Avoid local hex literals scattered across widgets.,Reference theme colors via Theme.of(context).colorScheme.primary etc. to support light/dark mode automatically.,Hard-code hex color values in widget files — breaks dark mode and redesigns.,Theme.of(context).colorScheme.primary,const Color(0xFF6200EE) // hard-coded,Critical,https://docs.flutter.dev/ui/design/material/color-scheme
23,Themes,TextTheme for typography scale,Use Theme.of(context).textTheme.titleLarge etc. instead of manual TextStyle to ensure consistent responsive type scale that respects accessibility text scaling.,"Map every text element to a semantic TextTheme slot (displayLarge, bodyMedium, labelSmall).",Specify font size in every Text widget without using TextTheme — defeats system font scaling.,"Text('Hello', style: Theme.of(context).textTheme.titleLarge)","Text('Hello', style: TextStyle(fontSize: 20))",High,https://docs.flutter.dev/ui/design/text/typography
24,Themes,Support Material 3,Enable Material 3 via ThemeData(useMaterial3: true) and use updated component tokens. M3 provides better accessibility defaults and adaptive components.,Use ColorScheme.fromSeed and M3 components; test on both platforms with adaptive scaffold.,Mix Material 2 and Material 3 component styles in the same app.,"ThemeData(useMaterial3: true, colorScheme: ColorScheme.fromSeed(seedColor: Colors.blue))",ThemeData(primarySwatch: Colors.blue) // M2 only,Medium,https://docs.flutter.dev/ui/design/material
25,Async,FutureBuilder with error state,"Always handle all three AsyncSnapshot states (waiting, error, data) in FutureBuilder. Missing error state shows a blank screen on network failure.",Show a loading indicator on ConnectionState.waiting and a retry widget on error; display data only when snapshot.hasData.,Return an empty Container from FutureBuilder when snapshot has no data — hides errors silently.,if (s.hasError) return ErrorWidget(s.error!),if (s.hasData) return DataView(s.data!) // error ignored,High,https://api.flutter.dev/flutter/widgets/FutureBuilder-class.html
26,Async,Avoid async in build(),Never call an async function directly inside build(). Each rebuild creates a new Future that is never awaited or cancelled.,"Trigger async calls in initState, didUpdateWidget or user event handlers; expose results through state or a StreamBuilder.",Return a Future from inside build() and discard it — causes memory leaks and race conditions.,void initState() { super.initState(); _future = fetchData(); },Widget build(ctx) { fetchData(); return Scaffold(...); },Critical,https://docs.flutter.dev/data-and-backend/networking
27,Async,StreamBuilder for real-time data,"Use StreamBuilder for continuously updating data sources like Firestore collections, WebSocket feeds or periodic timers.",Close streams in dispose() if created manually; use keep-alive for expensive streams.,Poll with a Timer and call setState — use a stream and StreamBuilder instead.,"StreamBuilder<List<Item>>(stream: repo.watchItems(), builder: (_, snap) => ...)","Timer.periodic(dur, (_) => setState(() => _load()))",High,https://api.flutter.dev/flutter/widgets/StreamBuilder-class.html
28,Accessibility,Semantics for custom widgets,"Wrap custom interactive widgets in a Semantics widget with meaningful label, hint and onTap properties so screen readers can announce and activate them.","Provide label for what the element is, hint for what happens when activated and button: true for tappable custom widgets.",Use a GestureDetector without Semantics — it is invisible to TalkBack and VoiceOver.,"Semantics(label: 'Add to cart', button: true, child: GestureDetector(onTap: _add, child: ...))","GestureDetector(onTap: _add, child: Icon(Icons.add))",Critical,https://api.flutter.dev/flutter/widgets/Semantics-class.html
