No,Category,Guideline,Description,Do,Don't,Code Good,Code Bad,Severity,Docs URL
11,Environment,Custom EnvironmentValues for design tokens,Define custom EnvironmentKey and EnvironmentValues extension to propagate design tokens (spacing scale and brand colour) through the tree without prop drilling.,Create a typed EnvironmentKey with a default value; expose via a convenience extension on EnvironmentValues.,Pass design tokens as explicit parameters to every leaf widget.,extension EnvironmentValues { var brandColor: Color { ... } },struct LeafView: View { let brandColor: Color },Low,https://developer.apple.com/documentation/swiftui/environmentkey
12,Layout,VStack/HStack/ZStack alignment,Pass an explicit alignment argument to stacks. Default leading/top alignment is often wrong for internationalised layouts; use .center or .leading explicitly.,Always specify alignment and spacing in stack initialisers for predictable layout across locales.,Rely on default implicit stack alignment and discover layout bugs only on RTL devices.,"VStack(alignment: .leading, spacing: 12) { ... }",VStack { ... } // implicit alignment,Medium,https://developer.apple.com/documentation/swiftui/vstack
13,Layout,LazyVStack for long scrollable lists,Use LazyVStack inside ScrollView for lists that have more items than fit on screen. Lazy stacks only build views for visible items.,Pair LazyVStack with a ForEach and ensure each item view is cheap to initialise.,Use VStack inside ScrollView for long dynamic lists — all children are created upfront.,ScrollView { LazyVStack { ForEach(items) { ItemRow($0) } } },ScrollView { VStack { ForEach(items) { ItemRow($0) } } },High,https://developer.apple.com/documentation/swiftui/lazyvstack
14,Layout,Grid for two-dimensional layouts,Use the Grid container (iOS 16+) for two-dimensional table-like layouts instead of nested HStack/VStack which cannot align columns across rows.,Use GridRow inside Grid; use .gridColumnAlignment for per-column alignment.,Nest multiple HStacks inside a VStack to simulate a grid — column alignment is impossible.,"Grid { GridRow { Text(""Name""); Text(""Score"") } }","VStack { HStack { Text(""Name""); Text(""Score"") } }",Medium,https://developer.apple.com/documentation/swiftui/grid
15,Layout,ViewThatFits for adaptive layouts,Use ViewThatFits to present the first view whose ideal size fits in the available space. Ideal for adaptive buttons or text that should truncate gracefully.,Provide views in descending complexity order inside ViewThatFits — the first fitting view is rendered.,Use GeometryReader to manually measure and switch layouts — ViewThatFits is safer and declarative.,ViewThatFits { WideButtonLabel(); CompactButtonLabel() },GeometryReader { geo in geo.size.width > 300 ? WideButtonLabel() : CompactButtonLabel() },Medium,https://developer.apple.com/documentation/swiftui/viewthatfits
16,Navigation,NavigationStack for push navigation,Use NavigationStack (iOS 16+) instead of the deprecated NavigationView. It supports programmatic navigation via a NavigationPath.,Initialise NavigationStack with a path binding for programmatic push/pop; use .navigationDestination for typed values.,Use NavigationView in new code — it is deprecated and does not support typed deep links.,NavigationStack(path: $path) { List { ... }.navigationDestination(for: Item.self) { ItemDetail($0) } },NavigationView { List { NavigationLink(...) } } // deprecated,Critical,https://developer.apple.com/documentation/swiftui/navigationstack
17,Navigation,NavigationPath for deep linking,Use NavigationPath to hold a type-erased list of pushed values. Serialise it for scene restoration and universal link handling.,Store NavigationPath in @StateObject or @SceneStorage; append typed values to navigate programmatically.,Maintain a parallel array of pushed routes manually outside of NavigationPath.,path.append(selectedItem),"@State var stack: [Item] = [] // manual stack, loses type safety",High,https://developer.apple.com/documentation/swiftui/navigationpath
18,Navigation,.navigationDestination for typed routes,Register destinations for value types using .navigationDestination(for:destination:). This decouples navigation links from their destinations and enables programmatic navigation.,Declare .navigationDestination once in the NavigationStack root; keep it close to the stack declaration.,Embed NavigationLink(destination:) with an explicit view instance — it eagerly creates the destination.,List { ForEach(items) { NavigationLink(value: $0) { Text($0.title) } } }.navigationDestination(for: Item.self) { ItemDetail($0) },NavigationLink(destination: ItemDetail(item)) { Text(item.title) } // eager init,High,https://developer.apple.com/documentation/swiftui/view/navigationdestination(for:destination:)
19,Performance,Use .task for async view setup,Attach .task to a view to run async work scoped to the view's lifetime. SwiftUI cancels the task automatically when the view disappears.,Use .task { await vm.load() } instead of onAppear + Task { } patterns to get automatic cancellation.,Use onAppear with a detached Task — the task outlives the view and may update deallocated state.,.task { await viewModel.fetchProducts() },.onAppear { Task { await viewModel.fetchProducts() } },High,https://developer.apple.com/documentation/swiftui/view/task(priority:_:)
20,Performance,@StateObject lifecycle management,"Create expensive objects (networking clients and databases) with @StateObject so they live for exactly the view's lifetime — no longer, no shorter.",Pair @StateObject with a class conforming to @Observable or ObservableObject; deinitialise resources in deinit.,Instantiate services or clients inside @ObservedObject — they are recreated on every redraw.,@StateObject private var store = ProductStore(),@ObservedObject var store = ProductStore() // recreated each render,Critical,https://developer.apple.com/documentation/swiftui/stateobject
21,Performance,Equatable conformance to reduce diffs,Conform value-type view inputs to Equatable so SwiftUI can skip redrawing when inputs have not changed.,Add Equatable to model structs and use EquatableView wrapper for views with expensive body computation.,Pass non-Equatable objects that always look different to SwiftUI's differ — forces constant redraws.,struct ItemView: View & Equatable { let item: Item },"struct ItemView: View { let item: ItemClass } // reference, always differs",Medium,https://developer.apple.com/documentation/swiftui/equatableview
22,Performance,Avoid heavy computation in body,SwiftUI calls body frequently. Any synchronous heavy work blocks the main thread and causes dropped frames. Move computation to async tasks or pre-calculated properties.,Precompute derived data in the model or in .task; expose a simple ready-to-render value to the view.,Filter/sort large arrays or format dates inside body — it runs on every frame.,Text(viewModel.formattedTotal),"Text(items.filter{$0.active}.map{$0.price}.reduce(0,+).formatted())",Critical,https://developer.apple.com/documentation/swiftui/view/body-swift.property
23,Animations,withAnimation for state-driven animation,Wrap state mutations inside withAnimation to animate all resulting layout and property changes declaratively.,Pass a custom Animation curve (spring and easeInOut) to withAnimation for natural feel; use transaction for one-off overrides.,Apply implicit .animation(.default) on container views — it propagates to every sub-view unintentionally.,withAnimation(.spring(response: 0.3)) { isOpen.toggle() },// .animation(.default) on VStack animates all children,High,https://developer.apple.com/documentation/swiftui/withanimation(_:_:)
24,Animations,.animation(_:value:) for explicit triggers,Use the value-bound .animation(_:value:) modifier to tie an animation to a specific value change instead of the deprecated unbounded .animation().,Always provide the value parameter so the animation fires only when that specific value changes.,Use the deprecated .animation(.spring()) without a value — it triggers on every property change of the view.,".animation(.easeOut, value: isVisible)",".animation(.easeOut) // deprecated, fires on all changes",High,https://developer.apple.com/documentation/swiftui/view/animation(_:value:)
25,Animations,matchedGeometryEffect for hero transitions,Use matchedGeometryEffect with a shared namespace to animate a view element between two visual states (list to detail hero image).,Apply the same id and namespace to both source and destination views inside a matched geometry pair.,Manually offset/scale a view to simulate a hero transition — matchedGeometryEffect handles frame interpolation automatically.,".matchedGeometryEffect(id: item.id, in: namespace)",// manual frame calculation for hero animation,Medium,https://developer.apple.com/documentation/swiftui/view/matchedgeometryeffect(id:in:properties:anchor:issource:)
26,Accessibility,.accessibilityLabel for custom elements,Every interactive or informational custom view that does not have an inherent semantic label needs an explicit .accessibilityLabel so VoiceOver can announce it.,Provide a concise noun-phrase label describing the element's purpose; use .accessibilityHint for action description.,Expose an unlabelled icon button — VoiceOver reads the SF Symbol name which is meaningless to users.,"Image(systemName: ""heart"").accessibilityLabel(""Add to favourites"")","Image(systemName: ""heart"") // VoiceOver says heart",Critical,https://developer.apple.com/documentation/swiftui/view/accessibilitylabel(_:)-5f0zj
27,Accessibility,Dynamic Type support,Use SwiftUI's built-in Text and system fonts which automatically scale with the user's preferred text size. Test at all accessibility sizes.,Use .font(.body) or named styles; wrap fixed-width containers in ViewThatFits to handle large text sizes.,Set a fixed font size with .font(.system(size: 14)) — it ignores the user's accessibility text size setting.,Text(title).font(.headline),Text(title).font(.system(size: 14)) // ignores Dynamic Type,High,https://developer.apple.com/documentation/swiftui/text
28,Accessibility,.accessibilityHidden for decorative views,Mark purely decorative images and views with .accessibilityHidden(true) so VoiceOver skips them and reduces noise for screen reader users.,"Apply .accessibilityHidden(true) to dividers, background gradients and icon decorations that duplicate adjacent label text.",Leave decorative images without an accessibility annotation — VoiceOver will attempt to read their file name.,"Image(""banner-bg"").accessibilityHidden(true)","Image(""banner-bg"") // VoiceOver reads file name",Medium,https://developer.apple.com/documentation/swiftui/view/accessibilityhidden(_:)
