Component,Category,Variants,Sizes,States,Default Padding,Default Radius,Default Shadow,Default Transition,Project Types,Keywords
feature-grid,layout,"2-col,3-col,4-col","default","default","0","0",none,none,"landing-page,saas-app","features,benefits,grid,columns"
testimonial,social-proof,"default,card,quote,avatar","default","default","24px","8px","0 1px 3px rgba(0,0,0,0.05)",none,"landing-page,saas-app,e-commerce","review,quote,feedback,customer"
badge,indicator,"default,success,warning,error,info,outline","sm,default","default","sm:2px 6px|default:4px 8px","9999px",none,none,"saas-app,dashboard,e-commerce,admin-panel,blog","tag,label,status,count"
alert,feedback,"default,success,warning,error,info","default","default,dismissing","12px 16px","8px",none,"opacity 200ms ease","saas-app,dashboard,admin-panel","message,notification,warning,info"
toast,feedback,"default,success,error,info","default","visible,dismissing","12px 16px","8px","0 4px 12px rgba(0,0,0,0.1)","all 300ms ease","saas-app,dashboard,admin-panel,mobile-app","notification,snackbar,popup,message"
table,data,"default,striped,bordered","default","default,hover-row,selected-row","cell:8px 12px","0",none,none,"saas-app,dashboard,admin-panel,e-commerce","grid,data,list,rows,columns"
dropdown,interactive,"default,searchable","default","default,open,disabled","8px 12px","8px","0 4px 12px rgba(0,0,0,0.08)","all 150ms ease","saas-app,dashboard,admin-panel","menu,options,context,popover"
tabs,navigation,"default,underline,pill","sm,default","default,active,disabled","sm:6px 12px|default:8px 16px","default:6px|pill:9999px",none,"all 150ms ease","saas-app,dashboard,admin-panel","tab,switch,segment,view"
breadcrumb,navigation,"default,with-icon","default","default","0","0",none,none,"saas-app,dashboard,admin-panel,e-commerce","path,trail,location,hierarchy"
filter,interactive,"default,chip,toggle-group","default","default,active,disabled","8px 12px","6px",none,"all 150ms ease","dashboard,e-commerce,admin-panel","search,sort,refine,narrow"
rating,indicator,"stars,hearts,numbers","sm,default","default,interactive","0","0",none,"color 150ms ease","e-commerce","score,review,stars,feedback"
price-tag,display,"default,sale,badge","sm,default,lg","default,sale","0","0",none,none,"e-commerce","cost,amount,currency,money"
image-gallery,media,"grid,carousel,masonry","default","default,lightbox","0","8px",none,"transform 300ms ease","e-commerce,portfolio","photos,images,gallery,slider"
pagination,navigation,"default,compact,infinite-scroll","default","default,active,disabled","6px 10px","6px",none,"all 150ms ease","blog,e-commerce,admin-panel","page,next,previous,numbers"
avatar,display,"default,with-status,group","xs,sm,default,lg","default,online,offline","0","50%",none,none,"saas-app,dashboard,mobile-app,admin-panel","user,profile,picture,photo"
tag,indicator,"default,removable,clickable","sm,default","default,hover,active","sm:2px 8px|default:4px 10px","9999px",none,"all 150ms ease","blog,portfolio,e-commerce","label,category,keyword,chip"
author-card,display,"default,compact","default","default","12px","8px",none,none,"blog","writer,author,bio,profile"
nav-bar,navigation,"default,transparent,solid","default","default,scrolled","8px 16px","0",none,"all 200ms ease","mobile-app","header,top,mobile-nav"
tab-bar,navigation,"default,floating","default","default,active","4px","0",none,"all 150ms ease","mobile-app","bottom-nav,tabs,mobile-tabs"
list-item,container,"default,with-icon,with-action","default","default,pressed,swiped","12px 16px","0",none,"background 150ms ease","mobile-app","row,item,cell,entry"
bottom-sheet,overlay,"default,scrollable","sm,default,lg","collapsed,expanded,dismissing","16px","top:16px","0 -4px 12px rgba(0,0,0,0.08)","transform 300ms ease","mobile-app","sheet,drawer,panel,pull-up"
chart-container,data,"default,with-legend,with-controls","sm,default,lg","default,loading,empty","16px","8px","0 1px 3px rgba(0,0,0,0.05)",none,"dashboard,saas-app,admin-panel","graph,visualization,data-viz,chart"
cart-item,container,"default,compact","default","default,updating,removing","12px","8px",none,"all 200ms ease","e-commerce","basket,bag,order,item"
